,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date,Ave DNI Jan,Ave GHI Jan,Ave Lat Tilt Jan,Ave DNI Aug,Ave GHI Aug,Ave Lat Tilt Aug
66,Chanute,37.68,-95.46,29.0,48.0,20.0,3.6,US,1596307473.0,3.59,2.28,3.85,5.84,5.99,6.1
67,Stafford,52.81,-2.12,17.78,60.0,83.0,2.24,GB,1596307261.0,,,,,,
68,Devils Lake,48.11,-98.87,23.0,46.0,40.0,7.2,US,1596307474.0,1.28,0.95,1.74,5.69,5.38,5.79
69,Hurricane,37.18,-113.29,40.0,16.0,1.0,3.1,US,1596307474.0,5.99,2.98,5.43,8.08,6.88,6.98
70,Assiniboia,49.63,-105.98,24.16,36.0,0.0,3.31,CA,1596307325.0,,,,,,
71,Bustamante,26.53,-100.5,29.52,45.0,71.0,2.88,MX,1596307474.0,,,,,,
72,Esqueda,30.72,-109.58,34.37,29.0,0.0,0.87,MX,1596307474.0,,,,,,
73,Winchester,51.07,-1.32,20.56,60.0,6.0,6.2,GB,1596307474.0,,,,,,
74,Malibu,34.01,-118.81,35.0,30.0,0.0,0.45,US,1596307305.0,4.69,3.04,4.89,7.13,6.88,6.95
75,Missoula,47.02,-113.8,30.56,37.0,1.0,1.05,US,1596307475.0,2.41,1.2,2.57,7.25,6.02,6.42
76,Charter Township of Clinton,42.59,-82.92,27.22,69.0,90.0,3.1,US,1596307475.0,2.12,1.59,2.73,4.32,5.2,5.35
77,Lüshunkou,38.8,121.27,25.0,94.0,62.0,2.0,CN,1596307475.0,,,,,,
78,Cartersville,34.17,-84.8,32.0,52.0,75.0,4.1,US,1596307223.0,3.92,2.59,4.09,4.62,5.72,5.72
79,Post Falls,47.72,-116.95,27.22,34.0,1.0,2.6,US,1596307475.0,2.03,1.09,2.29,7.37,6.17,6.69
80,Garden City,42.33,-83.33,22.78,83.0,90.0,2.6,US,1596307476.0,2.26,1.63,2.83,4.43,5.27,5.42
81,Meridian,43.61,-116.39,30.56,23.0,1.0,2.6,US,1596307476.0,2.64,1.54,2.92,8.72,6.86,7.26
82,Madisonville,37.33,-87.5,26.67,78.0,90.0,2.6,US,1596307476.0,2.86,2.05,3.31,5.21,5.83,5.93
83,Baker City,44.77,-117.83,27.22,27.0,1.0,3.1,US,1596307476.0,2.38,1.35,2.61,8.1,6.48,6.87
84,Charlestown,-32.95,151.67,10.0,84.0,0.0,1.34,AU,1596307476.0,,,,,,
85,Great Bend,38.36,-98.76,29.44,57.0,1.0,2.82,US,1596307476.0,4.43,2.49,4.45,6.33,6.2,6.36
86,Willmar,45.12,-95.04,24.0,69.0,1.0,5.1,US,1596307201.0,2.35,1.45,2.79,5.4,5.45,5.73
87,Carberry,49.87,-99.36,24.0,47.0,75.0,4.1,CA,1596307477.0,,,,,,
88,Menomonie,44.88,-91.92,26.11,47.0,40.0,3.6,US,1596307477.0,2.51,1.5,2.92,5.02,5.25,5.49
89,Cortez,37.35,-108.59,31.0,23.0,1.0,4.1,US,1596307477.0,5.39,2.71,4.91,7.23,6.45,6.54
90,Lovington,32.94,-103.35,32.78,31.0,5.0,2.1,US,1596307477.0,6.04,3.46,5.6,6.73,6.61,6.61
91,Gloversville,43.05,-74.34,28.33,51.0,1.0,2.06,US,1596307477.0,2.66,1.65,3.07,4.6,5.18,5.34
92,Poland,44.06,-70.39,29.44,51.0,20.0,1.5,US,1596307268.0,3.13,1.74,3.47,5.01,5.29,5.52
93,Watertown,42.37,-71.18,32.78,40.0,1.0,1.5,US,1596307204.0,2.8,1.79,3.29,4.44,5.25,5.43
94,Uvalde,29.37,-99.77,34.44,43.0,75.0,3.6,US,1596307478.0,4.24,3.04,4.36,6.11,6.29,6.2
95,Bastrop,32.76,-91.87,31.0,58.0,40.0,3.1,US,1596307478.0,3.65,2.57,3.89,5.27,6.0,6.01
96,Elk Plain,47.05,-122.4,18.89,82.0,90.0,1.33,US,1596307234.0,1.5,1.06,1.95,4.77,5.12,5.41
97,Dillon,34.42,-79.37,32.22,70.0,90.0,2.6,US,1596307478.0,4.25,2.73,4.38,4.51,5.63,5.65
98,Hamilton,39.18,-84.53,29.44,74.0,40.0,4.1,US,1596307319.0,2.88,1.92,3.25,4.78,5.55,5.65
99,Alamosa,37.47,-105.87,24.0,27.0,1.0,2.6,US,1596307227.0,6.21,2.97,5.5,7.5,6.5,6.58
100,Dallas,32.77,-96.78,31.67,43.0,40.0,3.1,US,1596307349.0,4.09,2.75,4.23,6.01,6.27,6.28
101,Freeport,40.66,-73.58,31.11,54.0,90.0,3.6,US,1596307201.0,3.2,1.99,3.59,4.55,5.38,5.53
102,Sonoita,31.85,-112.83,37.78,33.0,0.0,3.58,MX,1596307479.0,,,,,,
103,Pierre,44.37,-100.35,27.0,47.0,20.0,5.7,US,1596307251.0,3.29,1.71,3.49,6.38,5.95,6.3
104,Rosarito,32.33,-117.03,34.44,61.0,5.0,3.1,MX,1596307187.0,,,,,,
105,Shaunavon,49.65,-108.42,25.74,38.0,15.0,5.4,CA,1596307479.0,,,,,,
106,Saratoga Springs,43.08,-73.78,31.11,47.0,100.0,1.89,US,1596307479.0,2.79,1.71,3.21,4.63,5.22,5.41
107,Chapleau,47.84,-83.4,26.0,44.0,75.0,3.1,CA,1596307480.0,,,,,,
108,Carlsbad,33.16,-117.35,26.11,73.0,40.0,4.1,US,1596307344.0,4.88,3.23,5.11,5.49,6.29,6.32
109,Bay Saint Louis,30.31,-89.33,32.22,62.0,40.0,3.1,US,1596307314.0,3.78,2.86,4.12,4.63,5.72,5.68
110,Orchard Homes,46.86,-114.05,30.56,37.0,1.0,0.42,US,1596307480.0,2.77,1.37,2.96,6.89,5.99,6.41
111,Eureka,40.8,-124.16,17.78,82.0,90.0,2.1,US,1596307480.0,2.64,1.76,3.05,4.19,5.23,5.34
112,La Unión,-5.4,-80.75,28.16,40.0,0.0,6.61,PE,1596307480.0,,,,,,
113,Winnemucca,40.97,-117.74,33.0,7.0,1.0,2.6,US,1596307481.0,4.04,2.09,4.0,8.99,7.13,7.4
114,Rodolfo Sánchez Taboada,31.72,-116.57,22.78,82.0,0.0,0.89,MX,1596307481.0,,,,,,
