,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
120,Centralia,46.72,-122.95,18,77.0,90.0,0.73,US,1596302353.0
121,Harrisburg,40.27,-76.88,31.11,45.0,75.0,3.6,US,1596302298.0
122,Potsdam,52.4,13.07,28.33,34.0,84.0,1.33,DE,1596302121.0
123,Syracuse,37.09,15.28,35,41.0,1.0,2.6,IT,1596302354.0
124,Hays,30.05,-98.03,33.33,62.0,60.0,3.58,US,1596302354.0
125,Ormond Beach,29.29,-81.06,32.78,62.0,20.0,3.1,US,1596302137.0
126,Craig,40.52,-107.55,28,24.0,1.0,4.1,US,1596302293.0
127,Isla Vista,34.41,-119.86,19,72.0,1.0,2.6,US,1596302354.0
128,Rock Springs,41.59,-109.2,27,21.0,1.0,4.6,US,1596302312.0
129,Belgrade,44.8,20.47,29,32.0,0.0,4.1,RS,1596302355.0
130,Brownwood,31.71,-98.99,31,35.0,1.0,2.1,US,1596302355.0
131,Ramona,33.04,-116.87,35,33.0,1.0,4.6,US,1596302355.0
132,Staunton,38.15,-79.07,27.22,78.0,90.0,4.1,US,1596302170.0
133,Jonesboro,35.84,-90.7,24,73.0,90.0,7.2,US,1596302116.0
134,Emporia,38.4,-96.18,26,54.0,20.0,3.1,US,1596302355.0
135,Carlisle,40.2,-77.19,30.56,57.0,38.0,2.62,US,1596302196.0
136,Houma,29.6,-90.72,33.89,66.0,40.0,4.04,US,1596302201.0
137,Santa Barbara,34.42,-119.7,35,72.0,1.0,2.6,US,1596302354.0
138,Evanston,42.04,-87.69,26.67,61.0,90.0,3.1,US,1596302356.0
139,Susanville,40.42,-120.65,27.22,19.0,1.0,0.89,US,1596302235.0
140,Virginia Beach,36.85,-75.98,31.67,74.0,75.0,3.6,US,1596302250.0
141,Morro Bay,35.37,-120.85,25,55.0,1.0,1.34,US,1596302157.0
142,Hope,33.67,-93.59,29.44,58.0,0.0,0.89,US,1596302356.0
143,Batesville,35.77,-91.64,27,51.0,40.0,4.6,US,1596302357.0
144,Flagstaff,35.2,-111.65,30,28.0,1.0,5.1,US,1596302106.0
145,Bay City,43.59,-83.89,26.11,65.0,1.0,2.48,US,1596302357.0
146,Silver City,32.77,-108.28,29,26.0,1.0,3.1,US,1596302357.0
147,Lexington,37.99,-84.48,28.89,78.0,75.0,6.2,US,1596302217.0
148,Carbondale,37.73,-89.22,20,88.0,90.0,4.6,US,1596302357.0
149,Progreso,21.28,-89.67,33.89,55.0,75.0,4.97,MX,1596302357.0
150,Billings Metropolitan Area,45.78,-108.5,28.33,44.0,20.0,3.1,US,1596302334.0
151,Fallon,39.47,-118.78,30.56,11.0,20.0,3.1,US,1596302358.0
152,Delta,5.5,6.0,27.09,67.0,44.0,3.3,NG,1596302358.0
153,Lamar,33.67,-95.58,30.56,54.0,1.0,3.6,US,1596302358.0
154,North Platte,41.12,-100.77,27,51.0,1.0,3.1,US,1596302358.0
155,Elliot Lake,46.38,-82.63,26,57.0,1.0,2.1,CA,1596302358.0
156,Coshocton,40.27,-81.86,25.56,80.0,84.0,0.45,US,1596302359.0
157,Kincardine,56.07,-3.72,17.22,63.0,20.0,4.6,GB,1596302137.0
158,Maniwaki,46.38,-75.97,29.41,46.0,0.0,1.08,CA,1596302359.0
159,Michigan City,41.71,-86.89,23.33,100.0,1.0,1.5,US,1596302359.0
160,Deep River,46.1,-77.5,25,69.0,1.0,0.79,CA,1596302359.0
161,Princeton,25.54,-80.41,31.67,66.0,90.0,6.7,US,1596302359.0
162,Marquette,46.53,-87.63,28.89,62.0,0.0,1.41,US,1596302359.0
163,Uxbridge,42.08,-71.63,32.22,39.0,1.0,1.63,US,1596302360.0
164,Sunnyside,46.32,-120.01,27.22,60.0,1.0,1.89,US,1596302255.0
165,Meridian,43.61,-116.39,27.22,30.0,1.0,4.1,US,1596302148.0
166,Bemidji,47.47,-94.88,23.33,73.0,40.0,5.7,US,1596302297.0
167,Fort Morgan,40.25,-103.8,28,32.0,1.0,2.6,US,1596302281.0
168,Elizabeth City,36.29,-76.25,33,66.0,75.0,2.41,US,1596302360.0
169,Erie,42.77,-78.67,30,40.0,75.0,4.1,US,1596302321.0
170,North Las Vegas,36.2,-115.12,40.56,11.0,1.0,2.1,US,1596302148.0
171,Huron,41.15,-82.55,22.78,89.0,99.0,0.45,US,1596302361.0
172,Marysville,48.05,-122.18,17.22,82.0,90.0,2.6,US,1596302247.0
173,Lindsay,36.2,-119.09,28.33,39.0,1.0,2.6,US,1596302163.0
174,Clarksdale,34.2,-90.57,23.89,94.0,92.0,3.51,US,1596302361.0
175,Hoquiam,46.98,-123.89,17.22,87.0,90.0,2.6,US,1596302361.0
176,Saginaw,43.33,-84.03,26.11,65.0,1.0,1.64,US,1596302275.0
177,Mulegé,26.88,-111.98,32.63,51.0,45.0,3.05,MX,1596302362.0
178,Manitouwadge,49.12,-85.84,20,68.0,75.0,2.6,CA,1596302362.0
